ident,latitude,longitude,name,city,state,num_runway_hard,num_runway_soft
UHMI,68.8685760498047,-179.375534057617,Mys Shmidta Airport,Egvekinot,,1,0
PALU,68.8751831054688,-166.111831665039,Cape Lisburne LRRS,Cape Lisburne,Alaska,1,0
PAPO,68.348747253418,-166.799285888672,Point Hope,Point Hope,Alaska,1,0
Z53,69.0239486694336,-163.858062744141,Cape Sabine,Cape Beaufort,Alaska,1,0
PPIZ,69.7328872680664,-163.005279541016,Point Lay LRRS,Point Lay,Alaska,1,0
2AK8,70.2942199707031,-161.904983520508,Icy Cape AFS,Icy Cape,Alaska,0,1
PAVL,67.7359085083008,-164.563034057617,Kivalina,Kivalina,Alaska,0,1
PAWN,67.5616149902344,-162.979904174805,Noatak,Noatak,Alaska,1,0
PAWT,70.6138000488281,-159.863845825195,Wainwright As,Wainwright,Alaska,0,1
PAWI,70.6379776000977,-159.994552612305,Wainwright,Wainwright,Alaska,1,0
PABR,71.2854843139648,-156.765396118164,Wiley Post-Will Rogers Memoria,Barrow,Alaska,1,0
PABO,71.3391571044922,-156.636215209961,Point Barrow LRRS Airstrip,Barrow,,1,0
PATQ,70.4671325683594,-157.435699462891,Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,Alaska,1,0
0AK2,71.0580673217774,-154.738006591797,Cape Simpson,Cape Simpson,Alaska,0,1
AK71,70.9110717773438,-153.23600769043,Lonely As,Lonely,Alaska,1,0
3AK9,70.5742568969727,-152.258804321289,Kogru River,Kogru River,Alaska,0,1
PALP,70.3441314697266,-150.945236206055,Alpine Airstrip,Deadhorse,Alaska,1,0
AK20,70.4199295043945,-150.889251708984,Cd-3 Airstrip,Nuiqsut,,1,0
4AK1,70.0038299560547,-153.077560424805,Inigok,Deadhorse,Alaska,1,0
PAUM,69.3711166381836,-152.135040283203,Umiat,Umiat,Alaska,1,0
PAQT,70.2097625732422,-151.007095336914,Nuiqsut,Nuiqsut,Alaska,1,0
PAKP,68.1336517333984,-151.743286132813,Anaktuvuk Pass,Anaktuvuk Pass,Alaska,1,0
PADK,51.8779487609863,-176.646224975586,Adak,Adak I,Alaska,2,0
UHMD,64.3782196044922,-173.243347167969,Provideniya Bay,Provideniya Bay,,1,0
PAAK,52.2205352783203,-174.206298828125,Atka,Atka,Alaska,1,0
PASN,57.1663551330566,-170.222564697266,St Paul Island,St Paul I,Alaska,1,0
PAPB,56.5773582458496,-169.663681030273,St George,St George,Alaska,1,0
PAKO,52.9415245056152,-168.849411010742,Nikolski As,Nikolski,Alaska,1,0
PASH,66.2495803833008,-166.089431762695,Shishmaref,Shishmaref,Alaska,1,0
PAIW,65.6225967407227,-168.094985961914,Wales,Wales,Alaska,0,1
3Z1,64.8326034545898,-166.133712768555,Feather River,Feather River,Alaska,1,0
PATE,65.2403793334961,-166.339324951172,Teller,Teller,Alaska,1,0
PAPC,65.2534866333008,-166.857711791992,Port Clarence Cgs,Port Clarence,Alaska,1,0
PFKT,65.331428527832,-166.466217041016,Brevig Mission,Brevig Mission,Alaska,2,0
Z81,64.9089813232422,-165.015045166016,Salmon Lake,Salmon Lake,Alaska,1,0
94Z,64.5114440917969,-165.390213012695,Nome City,Nome,Alaska,1,0
PAOM,64.5125198364258,-165.44450378418,Nome,Nome,Alaska,2,0
Z47,64.6790924072266,-165.299392700195,Basin Creek,Basin Creek,Alaska,1,0
PACZ,61.7810173034668,-166.039459228516,Cape Romanzof LRRS,Cape Romanzof,Alaska,1,0
PAHP,61.5238800048828,-166.146697998047,Hooper Bay,Hooper Bay,Alaska,1,0
PACM,61.8445625305176,-165.573715209961,Scammon Bay,Scammon Bay,Alaska,1,0
PAVA,61.5408210754395,-165.600936889648,Chevak,,,1,0
PAOO,60.5413246154785,-165.087219238281,Toksook Bay,Toksook Bay,Alaska,1,0
PAMY,60.372386932373,-166.270233154297,Mekoryuk,Mekoryuk,Alaska,1,0
PAUT,54.1445999145508,-165.604125976563,Akutan,,,1,0
PAAM,53.9720153808594,-166.857528686523,Driftwood Bay Air Force Station,Dutch Harbor,Alaska,1,0
